HVC889195	test14_kf\HVC889195\	6,7,8
HVC951787	test14_kf\HVC951787\	24,2,26
HVC243211	test14_kf\HVC243211\	35,26,4
HVC243203	test14_kf\HVC243203\	167,169,170
HVC795363	test14_kf\HVC795363\	7,6,12
HVC242167	test14_kf\HVC242167\	36,16,26
HVC946976	test14_kf\HVC946976\	6,3,5
HVC989298	test14_kf\HVC989298\	59,56,18
HVC340657	test14_kf\HVC340657\	66,64,52
HVC763480	test14_kf\HVC763480\	20,21,12
HVC331450	test11_kf\HVC331450\	125,131,130
HVC400459	test11_kf\HVC400459\	55,57,29
HVC737771	test11_kf\HVC737771\	9,8,15
HVC607823	test11_kf\HVC607823\	144,143,145
HVC697069	test11_kf\HVC697069\	8,9,7
HVC235557	test11_kf\HVC235557\	25,20,26
HVC260038	test11_kf\HVC260038\	33,36,35
HVC766461	test11_kf\HVC766461\	25,77,11
HVC425071	test11_kf\HVC425071\	125,62,51
HVC081073	test11_kf\HVC081073\	11,9,12
HVC525814	test11_kf\HVC525814\	107,108,106
HVC712002	test11_kf\HVC712002\	33,15,34
HVC935078	test11_kf\HVC935078\	2,1,14
HVC742724	test11_kf\HVC742724\	249,248,135
HVC680032	test11_kf\HVC680032\	149,166,167
HVC456219	test11_kf\HVC456219\	10,7,2
