HVC979096	test14_kf\HVC979096\	18,17,10
HVC361011	test14_kf\HVC361011\	26,31,27
HVC966437	test14_kf\HVC966437\	11,10,15
HVC994342	test14_kf\HVC994342\	158,136,140
HVC951850	test14_kf\HVC951850\	71,131,70
HVC853754	test14_kf\HVC853754\	207,204,206
HVC162948	test14_kf\HVC162948\	123,122,101
HVC978637	test14_kf\HVC978637\	8,7,6
HVC105519	test14_kf\HVC105519\	179,6,4
HVC995348	test14_kf\HVC995348\	50,51,49
HVC266740	test11_kf\HVC266740\	10,97,27
HVC447929	test11_kf\HVC447929\	143,164,160
HVC547764	test11_kf\HVC547764\	84,14,80
HVC197256	test11_kf\HVC197256\	131,132,133
HVC884528	test11_kf\HVC884528\	13,6,8
HVC478868	test11_kf\HVC478868\	51,52,17
HVC117541	test11_kf\HVC117541\	22,21,11
HVC345537	test11_kf\HVC345537\	20,21,8
HVC405720	test11_kf\HVC405720\	15,13,6
HVC769028	test11_kf\HVC769028\	30,84,28
HVC730720	test11_kf\HVC730720\	8,5,7
HVC294814	test11_kf\HVC294814\	16,6,3
HVC136067	test11_kf\HVC136067\	136,190,135
HVC541743	test11_kf\HVC541743\	37,33,36
HVC739715	test11_kf\HVC739715\	59,58,53
HVC990034	test11_kf\HVC990034\	19,18,4
