HVC905061	test14_kf\HVC905061\	7,8,9
HVC232668	test14_kf\HVC232668\	64,55,109
HVC297537	test14_kf\HVC297537\	24,40,59
HVC983987	test14_kf\HVC983987\	77,63,148
HVC778614	test14_kf\HVC778614\	5,55,43
HVC803301	test14_kf\HVC803301\	11,10,9
HVC232833	test14_kf\HVC232833\	8,4,5
HVC779795	test14_kf\HVC779795\	15,14,16
HVC760038	test14_kf\HVC760038\	17,7,13
HVC397699	test14_kf\HVC397699\	54,136,132
HVC794134	test11_kf\HVC794134\	10,30,13
HVC976096	test11_kf\HVC976096\	8,6,7
HVC700886	test11_kf\HVC700886\	26,18,20
HVC965053	test11_kf\HVC965053\	4,5,8
HVC473381	test11_kf\HVC473381\	38,40,43
HVC360186	test11_kf\HVC360186\	6,3,4
HVC867460	test11_kf\HVC867460\	11,10,4
HVC804115	test11_kf\HVC804115\	8,9,7
HVC559291	test11_kf\HVC559291\	8,10,5
HVC265315	test11_kf\HVC265315\	7,5,3
HVC059408	test11_kf\HVC059408\	7,2,3
HVC094593	test11_kf\HVC094593\	9,8,7
HVC465848	test11_kf\HVC465848\	7,10,11
HVC921122	test11_kf\HVC921122\	5,4,6
HVC147344	test11_kf\HVC147344\	7,16,5
HVC918492	test11_kf\HVC918492\	8,9,1
