HVC960860	test14_kf\HVC960860\	22,24,17
HVC243217	test14_kf\HVC243217\	12,14,13
HVC907715	test14_kf\HVC907715\	22,21,19
HVC232996	test14_kf\HVC232996\	104,106,105
HVC232948	test14_kf\HVC232948\	17,10,11
HVC251919	test14_kf\HVC251919\	19,46,18
HVC237701	test14_kf\HVC237701\	4,10,8
HVC829443	test14_kf\HVC829443\	30,41,40
HVC893977	test14_kf\HVC893977\	13,17,32
HVC102426	test14_kf\HVC102426\	5,4,2
HVC066278	test11_kf\HVC066278\	39,38,40
HVC129906	test11_kf\HVC129906\	174,173,28
HVC112289	test11_kf\HVC112289\	14,15,16
HVC923623	test11_kf\HVC923623\	201,294,293
HVC093321	test11_kf\HVC093321\	58,151,175
HVC208435	test11_kf\HVC208435\	15,32,19
HVC697726	test11_kf\HVC697726\	9,23,22
HVC580809	test11_kf\HVC580809\	9,12,11
HVC934853	test11_kf\HVC934853\	93,2,72
HVC436539	test11_kf\HVC436539\	51,56,37
HVC591306	test11_kf\HVC591306\	17,22,18
HVC333984	test11_kf\HVC333984\	104,105,112
HVC454543	test11_kf\HVC454543\	39,23,30
HVC560730	test11_kf\HVC560730\	82,92,88
HVC518434	test11_kf\HVC518434\	34,30,29
HVC947936	test11_kf\HVC947936\	84,81,83
