HVC983682	test14_kf\HVC983682\	6,9,27
HVC497969	test14_kf\HVC497969\	7,22,10
HVC359079	test14_kf\HVC359079\	7,14,8
HVC945023	test14_kf\HVC945023\	123,4,89
HVC431594	test14_kf\HVC431594\	3,4,1
HVC500970	test14_kf\HVC500970\	33,32,31
HVC879807	test14_kf\HVC879807\	18,17,27
HVC941714	test14_kf\HVC941714\	39,53,63
HVC750903	test14_kf\HVC750903\	5,12,19
HVC922985	test14_kf\HVC922985\	20,187,19
HVC931013	test11_kf\HVC931013\	9,13,12
HVC562299	test11_kf\HVC562299\	152,155,154
HVC012602	test11_kf\HVC012602\	32,34,33
HVC904670	test11_kf\HVC904670\	58,55,53
HVC519399	test11_kf\HVC519399\	27,29,30
HVC839533	test11_kf\HVC839533\	94,95,93
HVC325308	test11_kf\HVC325308\	8,5,6
HVC386793	test11_kf\HVC386793\	83,39,80
HVC168579	test11_kf\HVC168579\	10,14,13
HVC466607	test11_kf\HVC466607\	18,37,24
HVC140588	test11_kf\HVC140588\	42,105,35
HVC539182	test11_kf\HVC539182\	115,51,148
HVC828883	test11_kf\HVC828883\	53,57,52
HVC892033	test11_kf\HVC892033\	4,40,41
HVC893585	test11_kf\HVC893585\	112,111,225
HVC551003	test11_kf\HVC551003\	108,7,8
