HVC775713	test14_kf\HVC775713\	14,7,8
HVC983715	test14_kf\HVC983715\	17,14,13
HVC825709	test14_kf\HVC825709\	2,11,1
HVC833931	test14_kf\HVC833931\	16,1,8
HVC746840	test14_kf\HVC746840\	9,8,11
HVC178264	test14_kf\HVC178264\	167,170,169
HVC866658	test14_kf\HVC866658\	3,2,7
HVC339148	test14_kf\HVC339148\	77,73,74
HVC788687	test14_kf\HVC788687\	41,42,44
HVC874251	test14_kf\HVC874251\	8,7,6
HVC511361	test11_kf\HVC511361\	27,81,69
HVC748556	test11_kf\HVC748556\	2,1,3
HVC320056	test11_kf\HVC320056\	52,12,36
HVC648612	test11_kf\HVC648612\	2,3,5
HVC467213	test11_kf\HVC467213\	16,15,37
HVC455997	test11_kf\HVC455997\	16,12,13
HVC446504	test11_kf\HVC446504\	5,3,7
HVC611805	test11_kf\HVC611805\	6,24,2
HVC567879	test11_kf\HVC567879\	10,8,3
HVC849018	test11_kf\HVC849018\	29,20,28
HVC305175	test11_kf\HVC305175\	62,37,36
HVC456791	test11_kf\HVC456791\	16,42,33
HVC249464	test11_kf\HVC249464\	10,8,18
HVC603251	test11_kf\HVC603251\	19,18,2
HVC441653	test11_kf\HVC441653\	62,69,58
HVC644266	test11_kf\HVC644266\	118,108,100
