HVC146851	test14_kf\HVC146851\	22,27,23
HVC132886	test14_kf\HVC132886\	4,7,9
HVC161201	test14_kf\HVC161201\	60,28,48
HVC156033	test14_kf\HVC156033\	34,42,38
HVC147224	test14_kf\HVC147224\	36,151,35
HVC159889	test14_kf\HVC159889\	23,24,28
HVC131786	test14_kf\HVC131786\	21,2,11
HVC751658	test14_kf\HVC751658\	21,25,10
HVC991083	test14_kf\HVC991083\	9,113,108
HVC137581	test14_kf\HVC137581\	176,177,193
HVC798937	test11_kf\HVC798937\	3,2,35
HVC842549	test11_kf\HVC842549\	10,3,4
HVC367143	test11_kf\HVC367143\	30,394,31
HVC901868	test11_kf\HVC901868\	15,26,22
HVC754335	test11_kf\HVC754335\	3,13,2
HVC867810	test11_kf\HVC867810\	85,86,36
HVC953379	test11_kf\HVC953379\	38,60,37
HVC357617	test11_kf\HVC357617\	20,17,19
HVC757144	test11_kf\HVC757144\	131,115,56
HVC525333	test11_kf\HVC525333\	32,34,33
HVC669769	test11_kf\HVC669769\	46,125,32
HVC899993	test11_kf\HVC899993\	52,30,34
HVC919745	test11_kf\HVC919745\	43,57,41
HVC827526	test11_kf\HVC827526\	59,60,58
HVC796691	test11_kf\HVC796691\	503,399,728
HVC407296	test11_kf\HVC407296\	82,85,54
