HVC949106	test14_kf\HVC949106\	2,248,117
HVC235825	test14_kf\HVC235825\	29,30,60
HVC253267	test14_kf\HVC253267\	27,30,4
HVC910164	test14_kf\HVC910164\	3,2,10
HVC256806	test14_kf\HVC256806\	11,7,8
HVC403565	test14_kf\HVC403565\	40,143,24
HVC940782	test14_kf\HVC940782\	73,72,123
HVC993714	test14_kf\HVC993714\	7,8,28
HVC838530	test14_kf\HVC838530\	48,10,11
HVC244681	test14_kf\HVC244681\	98,122,107
HVC235804	test14_kf\HVC235804\	40,54,50
HVC244930	test14_kf\HVC244930\	11,15,17
HVC254052	test14_kf\HVC254052\	91,9,11
HVC500463	test14_kf\HVC500463\	22,20,26
HVC367636	test11_kf\HVC367636\	99,100,135
HVC896286	test14_kf\HVC896286\	15,78,16
HVC333384	test11_kf\HVC333384\	6,2,8
HVC598832	test11_kf\HVC598832\	20,19,23
HVC438478	test11_kf\HVC438478\	4,5,3
HVC839862	test11_kf\HVC839862\	1,49,21
HVC244765	test14_kf\HVC244765\	27,48,49
HVC421253	test11_kf\HVC421253\	39,42,45
HVC655267	test11_kf\HVC655267\	3,1,2
HVC698586	test11_kf\HVC698586\	58,104,66
HVC185140	test14_kf\HVC185140\	8,4,11
HVC697180	test11_kf\HVC697180\	48,65,24
