HVC887071	test14_kf\HVC887071\	40,18,3
HVC269990	test14_kf\HVC269990\	2,3,6
HVC304476	test14_kf\HVC304476\	74,17,75
HVC813294	test14_kf\HVC813294\	53,66,56
HVC957665	test14_kf\HVC957665\	86,85,3
HVC788152	test14_kf\HVC788152\	3,4,9
HVC939141	test14_kf\HVC939141\	370,309,364
HVC775984	test14_kf\HVC775984\	23,135,140
HVC785928	test14_kf\HVC785928\	15,13,21
HVC849568	test14_kf\HVC849568\	27,25,39
HVC726910	test11_kf\HVC726910\	8,10,2
HVC119337	test11_kf\HVC119337\	71,79,72
HVC525905	test11_kf\HVC525905\	117,118,29
HVC286304	test11_kf\HVC286304\	10,9,8
HVC389771	test11_kf\HVC389771\	40,12,13
HVC677552	test11_kf\HVC677552\	10,6,76
HVC507548	test11_kf\HVC507548\	36,75,72
HVC105850	test11_kf\HVC105850\	10,33,9
HVC672505	test11_kf\HVC672505\	17,18,8
HVC903370	test11_kf\HVC903370\	296,232,149
HVC943823	test11_kf\HVC943823\	43,19,38
HVC811127	test11_kf\HVC811127\	4,27,2
HVC161451	test11_kf\HVC161451\	130,165,65
HVC423055	test11_kf\HVC423055\	40,26,41
HVC914097	test11_kf\HVC914097\	1,2,4
HVC740751	test11_kf\HVC740751\	9,1,8
