HVC893406	test14_kf\HVC893406\	137,136,146
HVC332714	test14_kf\HVC332714\	45,19,20
HVC823636	test14_kf\HVC823636\	22,41,83
HVC770533	test14_kf\HVC770533\	30,25,28
HVC952326	test14_kf\HVC952326\	4,9,31
HVC900382	test14_kf\HVC900382\	92,124,156
HVC139416	test14_kf\HVC139416\	168,60,38
HVC353934	test14_kf\HVC353934\	47,59,48
HVC337389	test14_kf\HVC337389\	235,92,56
HVC866957	test14_kf\HVC866957\	45,119,58
HVC136067	test11_kf\HVC136067\	56,55,57
HVC547764	test11_kf\HVC547764\	39,40,41
HVC839214	test11_kf\HVC839214\	52,42,43
HVC117541	test11_kf\HVC117541\	25,5,18
HVC884528	test11_kf\HVC884528\	71,96,78
HVC396020	test11_kf\HVC396020\	80,72,79
HVC114693	test11_kf\HVC114693\	27,26,32
HVC103055	test11_kf\HVC103055\	640,1210,1576
HVC567696	test11_kf\HVC567696\	78,137,75
HVC197256	test11_kf\HVC197256\	41,124,72
HVC476053	test11_kf\HVC476053\	39,56,22
HVC546349	test11_kf\HVC546349\	7,9,5
HVC959754	test11_kf\HVC959754\	252,242,246
HVC286848	test11_kf\HVC286848\	16,13,17
HVC266740	test11_kf\HVC266740\	33,34,92
HVC205797	test11_kf\HVC205797\	9,6,7
