HVC911698	test14_kf\HVC911698\	9,10,11
HVC407866	test14_kf\HVC407866\	36,5,32
HVC276732	test14_kf\HVC276732\	9,14,23
HVC831714	test14_kf\HVC831714\	179,177,109
HVC984920	test14_kf\HVC984920\	212,207,161
HVC722279	test14_kf\HVC722279\	38,50,37
HVC229335	test14_kf\HVC229335\	8,60,11
HVC228685	test14_kf\HVC228685\	49,106,99
HVC227599	test14_kf\HVC227599\	39,38,70
HVC782499	test14_kf\HVC782499\	107,30,27
HVC745680	test11_kf\HVC745680\	3,32,9
HVC572430	test11_kf\HVC572430\	154,155,23
HVC245132	test11_kf\HVC245132\	137,120,15
HVC554587	test11_kf\HVC554587\	25,23,24
HVC786988	test11_kf\HVC786988\	107,106,26
HVC597836	test11_kf\HVC597836\	27,9,28
HVC674894	test11_kf\HVC674894\	11,59,58
HVC118559	test11_kf\HVC118559\	21,37,9
HVC401988	test11_kf\HVC401988\	11,1,5
HVC631003	test11_kf\HVC631003\	3,2,1
HVC600060	test11_kf\HVC600060\	37,6,5
HVC817224	test11_kf\HVC817224\	37,36,25
HVC525814	test11_kf\HVC525814\	36,23,35
HVC725066	test11_kf\HVC725066\	48,62,60
HVC199319	test11_kf\HVC199319\	72,158,159
HVC845277	test11_kf\HVC845277\	89,90,96
