HVC891989	test14_kf\HVC891989\	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,73,74,75,76,77,78,79,85,86,87,88,89,90,91,92,93,96,106,107,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152;153,154,155;94,95
HVC744647	test14_kf\HVC744647\	57,58;48,49;65
HVC059612	test14_kf\HVC059612\	135,136,137,143,149,161,177;95,156,157,159;8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,31,32,33,34,35,36,41,42,43,44,45,46
HVC469058	test14_kf\HVC469058\	84,85,89,90,96,97,99,107,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132;61,62;60
HVC798646	test14_kf\HVC798646\	33,35;13,19,20,23,25,26,27,28,41,44,48;6,7,8,9
HVC824007	test14_kf\HVC824007\	48,49;46,47,50;45
HVC211077	test14_kf\HVC211077\	6,7,8,9;24;4,10
HVC149439	test14_kf\HVC149439\	79;87;59
HVC936138	test14_kf\HVC936138\	24,25;23;26,27
HVC783390	test14_kf\HVC783390\	12;38,39,40;6
HVC467795	test11_kf\HVC467795\	5;28,29;8
HVC918605	test14_kf\HVC918605\	9;4;5
HVC453551	test11_kf\HVC453551\	1,2;37;4
HVC274685	test14_kf\HVC274685\	75,90,91,98,100,102,103,104,105,106,107,110;10,14;15,16
HVC915442	test14_kf\HVC915442\	9;10;11,12,13
HVC981499	test14_kf\HVC981499\	58,64,67;4;6,9,27,28,39,40,45,46,51,59,60,63
HVC212825	test14_kf\HVC212825\	18,19,20,21,22,23,24,25,27,28,29,30,87,213,338,360,361,363,364,365,366,367,368,369,370,371,377,378,379,380,381,382,383,384,385,386;13,38,41,42,43,44,45,53,54,55,56,57,58,82,83,84,86,112,127,129,130,131,133,134,136,139,162,163,165,166,167,168,169,170,171,172,173,174,176,178,180,181,182,183,184,194,195,196,197,203,210,211,212,216,224,225,227,228,230,231,233,240,245,246,247,248,264,265,266,267,268,269,270,271,272,273,275,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,304,309,310,317,318,319,320,321,323,325,326,328,329,330,331,332,333,334,335,336,337,345,346,347,348,349,350,352,353,359,362;302,303
HVC859907	test14_kf\HVC859907\	25,26,27;38,39,40,41;35,36,37
HVC293111	test14_kf\HVC293111\	13,125,126,167,177,180,183,203;129,158,179,225,226,229,230;12,53,55,227,241,242
HVC347667	test14_kf\HVC347667\	1,2;4,6;5
HVC889620	test14_kf\HVC889620\	28,48,50,51,59;21;49,52,58
HVC888279	test11_kf\HVC888279\	10,11,12,13;1,2,4;3,7,8,9
HVC958397	test11_kf\HVC958397\	31;32;48
HVC077507	test11_kf\HVC077507\	17;1,6,7,18;3
HVC415628	test11_kf\HVC415628\	11,12,13,14,15;57,58,71,72,78;94
HVC318160	test11_kf\HVC318160\	1,4,5,13,14,15,21,39,40,41,42,43,44,45,46,47,50,51,52,53,54,57,58,59,63;3,24,26,27,28,29,30,31,36,37,38,48,60,61,62,69,70,71,72,73,74,75,76,77,78,84,85;7,8,16,17,18,19,20,22
