HVC960860	test14_kf\HVC960860\	1,6,7,8,10,13,16,18,19,20,21,22,23,24,25,26,28,30,41;2,3,4,9,11,12,14,15,17,35,36,39;5,27,29,31,32,33,34,37,38,40
HVC243217	test14_kf\HVC243217\	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52;53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86;1,2,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
HVC907715	test14_kf\HVC907715\	15,16,17,18,19,20,21;22,23,24,25,26;27,28,29,30
HVC232996	test14_kf\HVC232996\	104;106;105
HVC232948	test14_kf\HVC232948\	17;10;11
HVC251919	test14_kf\HVC251919\	15;16,18,19;6,7,8,9,10,14
HVC237701	test14_kf\HVC237701\	10,11;6,8;1,2,3,4,5
HVC829443	test14_kf\HVC829443\	30;37,40;38,39
HVC893977	test14_kf\HVC893977\	3,4,5,6,7,8,9,10,11,13,14,15,16,17,27;18,22,28,30,32;1,2,12,19,20,21,23,24,25,26,29,31,33,34,36
HVC102426	test14_kf\HVC102426\	3,4,5;1,2;6,7
HVC066278	test11_kf\HVC066278\	16,20,21,22,23,25,26,31,33,34,35,37,38,39,41;10,11,12,13,14,15,17,18,19,24,27,28,29,30,32,36,40;7,8,9
HVC129906	test11_kf\HVC129906\	27,28;10,11,12,13,14,15,16,17,18,19,20,21,22;23,26,32,76
HVC112289	test11_kf\HVC112289\	8,10,11,12,13,14,15,16;17,18,19;20,21,22,42,50
HVC923623	test11_kf\HVC923623\	162,163,171,172,173,174;156,158,159,187,188,189,190,192,193,194,196,200,204,211,251,252,260,261,284,285,290,291,329;144,145,155,182,184,197,201,202,203,206,207,220,287,288,296,297,349,351,352
HVC093321	test11_kf\HVC093321\	81,135,146,147,148,149,150;51,58,62,63,68,70,73,77,157,175,176,181,183,184,202,204,205,206,207,211,212,213,215,216,217;85,139,145,152,153,154,155,158,159,160,161,170,171,173,178,179,187
HVC208435	test11_kf\HVC208435\	15;32;19
HVC697726	test11_kf\HVC697726\	9,10;22;8,23
HVC580809	test11_kf\HVC580809\	9,22;12;7
HVC934853	test11_kf\HVC934853\	93;89;1,2,3,4,5,6,7,8
HVC436539	test11_kf\HVC436539\	51;52,56;26,37,59,79
HVC591306	test11_kf\HVC591306\	17;22;18
HVC333984	test11_kf\HVC333984\	105,107;104,106,108;109,113,114
HVC454543	test11_kf\HVC454543\	39;29,30;45
HVC560730	test11_kf\HVC560730\	82,90;88,89,91,92;76,77
HVC518434	test11_kf\HVC518434\	28,29,30,31,32;33,34,35,36;81
HVC947936	test11_kf\HVC947936\	84;81,82,83;79
